name,category,desc,qty,weight,unit,url,price,worn,consumable
The Ranger,Pack,Evolved Supply Co,1,19.25,ounce,https://evolvedsupplyco.com/supplies/p/the-ranger,330,,
Pack Liner,Pack,Nylofume,1,1.02,ounce,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner,2,,
Vidda Pro Lite Pants,Worn Clothing,Fjallraven,1,16,ounce,https://www.fjallraven.com/us/en-us/men/trousers/trekking-trousers/vidda-pro-lite-trousers-m/?v=F86891::7323451089398,155,Worn,
Pursuit Shoes 11,Worn Clothing,Topo Athletic,1,22,ounce,https://www.topoathletic.com/mens-pursuit?quantity=1&color=179&size=14,150,Worn,
Belt,Worn Clothing,Arcade Belt,1,4,ounce,https://www.rei.com/product/224508/arcade-belts-atlas-belt?redirect-pup=false,40,Worn,
Hat,Worn Clothing,Arc’teryx Trucker,1,2.15,ounce,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat?cmpid=pm%7Cmult%7Cperf%7Cgoogle%7CArc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN%7CAll_Products%7C%7C%7Bad_id%7D&utm_source=google&utm_medium=pm%7Cmult%7Cperf&utm_campaign=Arc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN&gclid=Cj0KCQjw7PCjBhDwARIsANo7CgnhDYiNmtssmVUGEq3x-zsezEib9-Ed3FMJOWTaoeZ2VV2wCyrO_q4aAjoPEALw_wcB&gclsrc=aw.ds,45,Worn,
Sunglasses,Worn Clothing,Goodr,1,0.78,ounce,https://goodr.com/collections/the-ogs/products/a-gingers-soul,25,Worn,
Echo Hoody,Worn Clothing,Outdoor Research,1,4.5,ounce,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625,75,Worn,
Cresta Wool Lightweight Socks,Worn Clothing,LL Bean,1,3,ounce,https://www.llbean.com/llb/shop/124597?page=mens-cresta-wool-sock-lightweight-1/4-crew-unisex&feat=socks-SR0&csp=a&attrValue_0=338&searchTerm=socks&pos=18,16,Worn,
Boxer Briefs,Worn Clothing,Smartwool,1,3.25,ounce,https://www.smartwool.com/en-us/men/clothing/underwear/mens-merino-boxer-brief/SW016997.html?dwvar_SW016997_color=092,5,Worn,
Electron Pro Jacket,Packed Clothing,Rab,1,16,ounce,https://rab.equipment/us/mens-mythic-g-down-jacket,365,,
Yakona Cruiser Pullover,Packed Clothing,Farpointe,1,8,ounce,https://www.farpointeog.com/stock/p/yakona-hoodie-available-314?utm_medium=order-summary&utm_source=order-status&utm_content=name,85,,
Visp Rain Jacket M,Packed Clothing,Enlightened Equipment,1,5.22,ounce,https://enlightenedequipment.com/visp-rain-jacket/,250,,
Quickdraw Filter,Water,Platypus,1,2.4,ounce,https://www.rei.com/product/188475,50,,
ThruBottle x 2,Water,CNOC,1,6.36,ounce,https://minimalgear.com/products/cnocoutdoors-thrubottle,26,,
2L Wide Mouth Pouch,Water,CNOC,1,2.5,ounce,https://minimalgear.com/collections/cnocoutdoors-collecting/products/cnocoutdoors-vecto-28mm?variant=40173968326745,24,,
SPF 15 Chapstick,Hygiene,Walgreens,1,0.32,ounce,,2,,Consumable
Hair Ties x 2,Hygiene,Target,1,0.16,ounce,,2,,
Toilet paper,Hygiene,Charmin,1,1.45,ounce,,2,,Consumable
Ultralight Trowel,Hygiene,BoglerCo,1,0.46,ounce,https://www.garagegrowngear.com/products/ultralight-trowel-by-boglerco?_pos=1&_sid=46d5c9565&_ss=r,18,,
Toilet bag,Hygiene,Zpacks,1,0.44,ounce,,25,,
Powdered Hand soap,Hygiene,Pika Outdoors,1,1.4,ounce,https://www.garagegrowngear.com/products/summit-suds-powdered-soap-by-pika-outdoors?_pos=1&_sid=9ed7b983a&_ss=r,6.5,,
Med + Repair Kit,Aid Kit,REI,1,1.73,ounce,,10,,
NU25 UL Headlamp,Electronics,Nitecore,1,1.59,ounce,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm,37,,
Ultra 3 Watch,Electronics,Apple,1,2.25,ounce,https://www.apple.com/apple-watch-ultra-3/,900,Worn,
iPhone 16 Pro Phone,Electronics,Apple,1,6,ounce,https://www.apple.com/iphone-16-pro/,0,,
Wallet,Miscellaneous,Misc,1,2,ounce,,0,,
House Keys,Miscellaneous,Misc,1,1.2,ounce,,0,,
Water 2 Liters,Packed Food + Water,Earth,1,70.5,ounce,,0,,Consumable
Swiss army knife,Luxury Items,Victorinox,1,0.74,ounce,https://www.amazon.com/dp/B00004YVB2?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_1&th=1,24,,
Weather Sensor,Luxury Items,SensorPush,1,1.02,ounce,https://www.amazon.com/dp/B08PKVRJJX?psc=1&ref=ppx_yo2ov_dt_b_product_details,90,,
Wired Headphones,Luxury Items,Apple,1,0.46,ounce,,0,,
Lightening to USB-C Adapter,Luxury Items,Amazon,1,0.2,ounce,https://www.amazon.com/dp/B0F21NW45C,12,,
Thinlight Foam Pad,Luxury Items,Gossamer Gear,1,3.3,ounce,https://www.garagegrowngear.com/products/thinlight-foam-pad-1-8-by-gossamer-gear?variant=44562074960059,32,,
