name,category,desc,qty,weight,unit,url,price,worn,consumable
The Ranger,Pack,Evolved Supply Co,1,19.25,ounce,https://evolvedsupplyco.com/supplies/p/the-ranger,330,,
Pack Liner,Pack,Nylofume,1,1.02,ounce,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner,2,,
X-Dome 1+ Tent,Shelter,Durston Gear,1,35,ounce,https://durstongear.com/products/x-dome-1-plus-ultralight-backpacking-tent?variant=49897121382691,399,,
Polycro Groundsheet,Shelter,3M,1,2.05,ounce,https://www.homedepot.com/p/3M-62-in-x-84-in-Clear-Plastic-Indoor-Window-Kit-2120-EP/100353672,2,,
PVC Stakes Cap,Shelter,Charlotte Pipe,1,0.39,ounce,https://www.homedepot.com/p/Charlotte-Pipe-1-2-in-PVC-Schedule-40-Socket-Cap-PVC021160600HD/203811669,0.5,,
Groundhog Mini Stakes x 6,Shelter,MSR,1,2.1,ounce,https://www.rei.com/product/682543/msr-ground-hog-stake,36,,
Airtight 4L Dry Sack,Shelter,Zenbivy,1,1.9,ounce,https://zenbivy.com/products/dry-sack,30,,
Sawatch 15F/-9C Wide Quilt 6',Sleeping,Katabatic,1,26.9,ounce,https://katabaticgear.com/collections/all/products/flex-15-ultralight-quilt?variant=41704155775021,529,,
Ether Light XR Pro Pad RW,Sleeping,Sea-to-summit,1,25.6,ounce,https://www.rei.com/product/246132/sea-to-summit-ether-light-xr-pro-insulated-asc-sleeping-pad,215,,
Modular Large Pillow,Sleeping,Zenbivy,1,1.7,ounce,https://zenbivy.com/products/pillow-air-bladder?variant=44439506976989,22,,
Pillow Case,Sleeping,PillowStrap,0,2.19,ounce,https://www.pillowstrap.com/products/medium-in-green,42,,
Air Pump,Sleeping,Alpenblow,1,0.3,ounce,https://www.garagegrowngear.com/products/alpenblow-micro-inflator-by-alpenglow-gear?_pos=1&_sid=ba21c8690&_ss=r,60,,
Airtight 10L Dry Sack,Sleeping,Zenbivy,1,2.3,ounce,https://zenbivy.com/products/dry-sack,30,,
Comfy Camp Pillow Topper,Sleeping,ZPacks,1,3.2,ounce,https://zpacks.com/products/comfy-camp-pillow,35,,
Vidda Pro Lite Pants,Worn Clothing,Fjallraven,1,16,ounce,https://www.fjallraven.com/us/en-us/men/trousers/trekking-trousers/vidda-pro-lite-trousers-m/?v=F86891::7323451089398,155,Worn,
Pursuit Shoes 11,Worn Clothing,Topo Athletic,1,22,ounce,https://www.topoathletic.com/mens-pursuit?quantity=1&color=179&size=14,150,Worn,
Belt,Worn Clothing,Arcade Belt,1,4,ounce,https://www.rei.com/product/224508/arcade-belts-atlas-belt?redirect-pup=false,40,Worn,
Hat,Worn Clothing,Arc’teryx Trucker,1,2.15,ounce,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat?cmpid=pm%7Cmult%7Cperf%7Cgoogle%7CArc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN%7CAll_Products%7C%7C%7Bad_id%7D&utm_source=google&utm_medium=pm%7Cmult%7Cperf&utm_campaign=Arc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN&gclid=Cj0KCQjw7PCjBhDwARIsANo7CgnhDYiNmtssmVUGEq3x-zsezEib9-Ed3FMJOWTaoeZ2VV2wCyrO_q4aAjoPEALw_wcB&gclsrc=aw.ds,45,Worn,
Sunglasses,Worn Clothing,Goodr,1,0.78,ounce,https://goodr.com/collections/the-ogs/products/a-gingers-soul,25,Worn,
Echo Hoody,Worn Clothing,Outdoor Research,1,4.5,ounce,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625,75,Worn,
Cresta Wool Lightweight Socks,Worn Clothing,LL Bean,1,3,ounce,https://www.llbean.com/llb/shop/124597?page=mens-cresta-wool-sock-lightweight-1/4-crew-unisex&feat=socks-SR0&csp=a&attrValue_0=338&searchTerm=socks&pos=18,16,Worn,
Boxer Briefs,Worn Clothing,Smartwool,1,3.25,ounce,https://www.smartwool.com/en-us/men/clothing/underwear/mens-merino-boxer-brief/SW016997.html?dwvar_SW016997_color=092,5,Worn,
Electron Pro Jacket,Packed Clothing,Rab,1,16,ounce,https://rab.equipment/us/mens-mythic-g-down-jacket,365,,
Yakona Cruiser Pullover,Packed Clothing,Farpointe,1,8,ounce,https://www.farpointeog.com/stock/p/yakona-hoodie-available-314?utm_medium=order-summary&utm_source=order-status&utm_content=name,85,,
Visp Rain Jacket M,Packed Clothing,Enlightened Equipment,1,5.22,ounce,https://enlightenedequipment.com/visp-rain-jacket/,250,,
