category,type,name,weight,worn,consumable,link
pack,Pack,ESC Ranger,19.25,,,https://evolvedsupplyco.com/supplies/p/the-ranger
pack,Pack Liner,Nylofume,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
shelter,tent,Durston X-Mid Pro 1,16,,,https://durstongear.com/products/x-mid-pro-1-tent-ultralight-thruhiking
shelter,stakes,MSR Ground Hog Minis x 8,6,,,https://www.rei.com/product/829838/msr-mini-ground-hog-stake
sleeping,Pad,Big Agnes Zoom UL Regular/Wide 4.3R,17,,,https://www.bigagnes.com/collections/new-arrivals/products/zoom-ul-insulated
sleeping,Quilt,EE Engima 30ºF/-1ºC Regular,16.33,,,https://enlightenedequipment.com/enigma
sleeping,Pillow,Exped,6,,,https://www.rei.com/product/239220/exped-mega-pillow
clothing,Shorts,Vuori Kore,5.33,yes,,https://vuoriclothing.com/products/kore-short-charcoal
clothing,sun hoody,Outdoor Research Echo,4.5,yes,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Shoes,Altra Lone Peak 6,20,yes,,
clothing,Underwear,Smartwool boxer briefs,3.25,yes,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Knee Brace,Mueller,3,yes,,https://www.amazon.com/gp/product/B00267SFL6
clothing,Socks,Darn Tough Ankle,1.55,yes,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,Hat,Arc'teryx Trucker,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat
clothing,down jacket,Mountain Hardwear,7.97,,,https://www.amazon.com/gp/product/B07W5XC3DD
clothing,Rain Jacket,Enlightened Equipment Visp,5.22,,,https://enlightenedequipment.com/visp-rain-jacket/
clothing,sun hoody,Outdoor Research Echo,4.5,,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Underwear,Smartwool boxer briefs,3.25,,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Socks,Darn Tough Ankle,1.55,,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Pullover,Senchi Designs Wren Alpha Hoodie,4.02,,,https://senchidesigns.com/collections/shop/products/wren-hoodie
clothing,joggers,Vuori Kore,8.29,,,https://www.patagonia.com/product/mens-terrebonne-joggers/194187855635.html
clothing,Sandals,Store-bought,6,,,
water,Filter,Platypus Quickdraw,2.4,,,https://www.rei.com/product/188475
water,Filter Pouch,Platypus 1L,1.4,,,https://www.rei.com/product/188475
water,Water Bottles,Smartwater,3,,,
hygiene,Toothpaste tablets,,0.53,,yes,https://www.garagegrowngear.com/products/tooth-tabs-by-unpaste
hygiene,Toothbrush,Foldable,0.74,,,https://www.target.com/p/foldable-travel-toothbrush-up-38-up-8482/-/A-89947685
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Toilet paper,,1.69,,yes,
hygiene,Body/Hair Wash,Dr. Bronners,2.89,,yes,https://www.amazon.com/dp/B000HJXQ9G
hygiene,Face Lotion,,1.38,,yes,https://www.target.com/p/vanicream-daily-facial-moisturizer-for-sensitive-skin-3-fl-oz/-/A-80038093
hygiene,Deodorant,Travel-sized,0.95,,yes,https://www.amazon.com/dp/B00E3B47ZQ
hygiene,Towel,Ultralight,3,,,
hygiene,Comb,,0.53,,,
hygiene,Hair Ties,,0.32,,,
hygiene,Chapstick,SPF 15,0.32,,yes,
hygiene,Sunblock,33 SPF Joshua Tree sun stick,0.95,,yes,https://www.amazon.com/gp/product/B004Y6K8XA
aid kit,Med + Repair Kit,Ibuprofen + allergy medicine + repair tape,3.35,,yes,https://www.rei.com/product/800721/adventure-medical-kits-ultralightwatertight-3-medical-kit
electronics,Headlamp,Nitecore NU25 UL,1.59,,,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm
electronics,Powerbank,Nitecore NB10000,5.36,,,https://www.nitecorestore.com/Nitecore-NB10000-Gen-2-Power-Bank-p/bat-nite-nb10000.htm
electronics,,Anker USB-C 40W charger dual port,3,,,https://www.amazon.com/dp/B0BDKB4W7N
electronics,GPS Smartwatch,Garmin Enduro 2,1.8,yes,,https://www.garmin.com/en-US/p/854515
electronics,Phone,iPhone 16 Pro,7.8,yes,,https://www.apple.com/iphone-16-pro/
electronics,Cables,,1.9,,,
packed food + water,Water,2 liters,74.4,,yes,
packed food + water,Snacks,,4,,yes,
luxury items,E-Reader,Amazon Kindle Paperwhite,7.23,,,https://www.amazon.com/dp/B08KTZ8249
luxury items,Headphones,Airpods Pro 2,1.9,,,https://www.amazon.com/dp/B0BDHWDR12
luxury items,Headphones adapter,Bluetooth,0.5,,,https://www.amazon.com/gp/product/B07Z13G1P5
luxury items,Trekking Pole bag,,0.92,,,https://www.amazon.com/dp/B01I98YQA4
miscellaneous,Trekking Pole,CNOC Cork,9.66,yes,,https://cnocoutdoors.com/collections/trekking-poles/products/cnoc-telescopic-trekking-poles-cork-grip-single-pole
miscellaneous,Earplugs,,0.14,,,
miscellaneous,Drawstring Bag,,3,,,
miscellaneous,reading Glasses,,2.47,,,
miscellaneous,Keys,Building + unit,1.2,,,
miscellaneous,Wallet,,2,,yes,
miscellaneous,Passport,,2.57,,,
