category,type,name,weight,worn,consumable,link
pack,Pack,ESC Ranger,19.25,,,https://evolvedsupplyco.com/supplies/p/the-ranger
pack,Pack Liner,Nylofume,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
clothing,Shorts,Vuori Kore,5.33,yes,,https://vuoriclothing.com/products/kore-short-charcoal
clothing,sun hoody,Outdoor Research Echo,4.5,yes,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Shoes,Topo Athletic Pursuit,22,yes,,https://www.topoathletic.com/mens-pursuit
clothing,Underwear,Smartwool boxer briefs,3.25,yes,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Knee Brace,Mueller,3,yes,,https://www.amazon.com/gp/product/B00267SFL6
clothing,Socks,Darn Tough Ankle,1.55,yes,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,Hat,Arc'teryx Trucker,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat
clothing,down jacket,Mountain Hardwear,7.97,,,https://www.amazon.com/gp/product/B07W5XC3DD
clothing,Rain Jacket,Enlightened Equipment Visp,5.22,,,https://enlightenedequipment.com/visp-rain-jacket/
clothing,Pullover,Senchi Designs Wren Alpha Hoodie,4.02,,,https://senchidesigns.com/collections/shop/products/wren-hoodie
water,Filter,Platypus Quickdraw,2.4,,,https://www.rei.com/product/188475
water,Filter Pouch,Platypus 1L,1.4,,,https://www.rei.com/product/188475
water,Water Bottles,Smartwater,3,,,
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Toilet paper,,1.69,,yes,
hygiene,Chapstick,SPF 15,0.32,,yes,
hygiene,Sunblock,33 SPF Joshua Tree sun stick,0.95,,yes,https://www.amazon.com/gp/product/B004Y6K8XA
aid kit,Med + Repair Kit,Ibuprofen + allergy medicine + repair tape,3.35,,yes,https://www.rei.com/product/800721/adventure-medical-kits-ultralightwatertight-3-medical-kit
electronics,Headlamp,Nitecore NU25 UL,1.59,,,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm
electronics,GPS Smartwatch,Garmin Enduro 2,1.8,yes,,https://www.garmin.com/en-US/p/854515
electronics,Phone,iPhone 16 Pro,7.8,yes,,https://www.apple.com/iphone-16-pro/
packed food + water,Water,2 liters,74.4,,yes,
packed food + water,Snacks,,4,,yes,
luxury items,Headphones,Airpods Pro 2,1.9,,,https://www.amazon.com/dp/B0BDHWDR12
miscellaneous,Trekking Pole,CNOC Cork,9.66,yes,,https://cnocoutdoors.com/collections/trekking-poles/products/cnoc-telescopic-trekking-poles-cork-grip-single-pole
miscellaneous,Keys,Building + unit,1.2,,,
miscellaneous,Wallet,,2,,yes,
