category,type,name,weight,worn,consumable,link
pack,,ESC Ranger,19.25,,,https://evolvedsupplyco.com/supplies/p/the-ranger
pack,Pack Liner,Nylofume,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
pack,Drawstring Bag,,3,,,
sleeping,Liner,Sleeping Bag,12.8,,,https://seatosummit.com/products/adaptor-coolmax-liner-insect-shield
sleeping,Pillow,Exped Mega,6,,,https://www.rei.com/product/149971/exped-mega-pillow
clothing,Shorts x 2,Vuori Kore,10.66,yes,,https://vuoriclothing.com/products/kore-short-charcoal
clothing,Underwear x 2,Smartwool boxer briefs,6.5,yes,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Socks,Darn Tough Ankle,3.10,yes,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,Hat,Arc'teryx Trucker,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat
clothing,Shoes,Topo Athletic Pursuit,22,yes,,https://www.topoathletic.com/mens-pursuit
clothing,Knee Braces,Mueller Knee Stabilizer,3,yes,,https://www.amazon.com/gp/product/B00267SFL6
clothing,down jacket,Mountain Hardwear,7.97,,,https://www.amazon.com/gp/product/B07W5XC3DD
clothing,Pullover,Senchi Designs Wren Alpha Hoodie,4.02,,,https://senchidesigns.com/collections/shop/products/wren-hoodie
clothing,Rain Jacket,Enlightened Equipment Visp,5.22,,,https://enlightenedequipment.com/visp-rain-jacket/
clothing,sun hoody x 2,Outdoor Research Echo,9,,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Shirt,Smartwool Long sleeve,6.53,,,https://www.smartwool.com/shop/mens-classic-all-season-merino-base-layer-long-sleeve-sw016952
clothing,joggers,Vuori Kore,8.29,,,https://www.patagonia.com/product/mens-terrebonne-joggers/194187855635.html
clothing,Sandals,Crocs Classic Clogs,13.12,,,https://www.amazon.com/Crocs-Unisex-Classic-Clogs-Latte/dp/B0014C5S7S
water,Water Bottles,Nalgene,11.7,,,
water,water Filter,Katadyn BeFree,2.29,,,https://www.rei.com/product/116364/katadyn-befree-collapsible-water-filter-bottle-338-fl-oz
hygiene,Toothpaste tablets,,0.53,,yes,https://www.garagegrowngear.com/products/tooth-tabs-by-unpaste
hygiene,Toothbrush,Foldable,0.74,,,https://www.target.com/p/foldable-travel-toothbrush-up-38-up-8482/-/A-89947685
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Body/Hair Wash,Dr. Bronners,2.89,,yes,https://www.amazon.com/dp/B000HJXQ9G
hygiene,Towel,PackTowl,6.31,,,https://www.amazon.com/gp/product/B01N2HMAV1
hygiene,Deodorant,,0.95,,yes,https://www.amazon.com/dp/B00E3B47ZQ
hygiene,Toilet paper,,1.69,,yes,
hygiene,Body Wipes,,2,,yes,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-20ct/-/A-15045578
aid kit,Med + Repair Kit,,3.35,,,https://www.rei.com/product/800721/adventure-medical-kits-ultralightwatertight-3-medical-kit
electronics,Headphones,Wired,0.46,,,
electronics,Powerbank,Nitecore NB10000,5.36,,,https://www.nitecorestore.com/Nitecore-NB10000-Gen-2-Power-Bank-p/bat-nite-nb10000.htm
electronics,GPS Watch,Garmin Enduro 2,1.8,yes,,https://www.garmin.com/en-US/p/854515
electronics,Phone,iPhone 16 Pro,7.8,,,https://www.apple.com/iphone-16-pro/
electronics,Cables,,1.9,,,
electronics,Outlet Adapter,,1.16,,,https://www.amazon.com/gp/product/B071GC3G9G
electronics,Wall Charger,Anker,2.19,,,
electronics,SOS,Garmin inReach,4.2,,,https://www.garmin.com/en-US/p/793265
miscellaneous,Playing cards,,3.28,,,
miscellaneous,Trekking Pole,CNOC Cork,9.66,yes,,https://cnocoutdoors.com/collections/trekking-poles/products/cnoc-telescopic-trekking-poles-cork-grip-single-pole
miscellaneous,Bug Wipes,Picaridin insect repellent,1.13,,,https://www.amazon.com/dp/B001ARBSTO
miscellaneous,Chapstick,SPF 15,0.32,,yes,
miscellaneous,Sunblock,33 SPF Joshua Tree sun stick,0.95,,yes,https://www.amazon.com/gp/product/B004Y6K8XA
miscellaneous,Earplugs,,0.14,,,
miscellaneous,reading Glasses,,2.47,,,
miscellaneous,Passport,,2.57,,,
