category,type,name,weight,worn,consumable,link
pack,,ESC Ranger,19.25,,,https://evolvedsupplyco.com/supplies/p/the-ranger
pack,Pack Liner,Nylofume,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
shelter,tent,Durston Gear X-Dome 1+,35,,,https://durstongear.com/products/x-dome-1-plus-ultralight-backpacking-tent
shelter,stakes,MSR Ground Hog Mini,2.1,,,https://www.rei.com/product/829838/msr-mini-ground-hog-stake
sleeping,Quilt,EE Revelation 10ºF,27,,,https://enlightenedequipment.com/revelation-stock
sleeping,Pillow,Zenbivy Modular Large,1.7,,,https://zenbivy.com/products/pillow-air-bladder
sleeping,Pillow Case,Pillow Strap,2.19,,,https://www.pillowstrap.com/products/medium-in-green
sleeping,Pad,NEMO Tensor All Season R 5.4,19.12,,,https://www.rei.com/product/228436/nemo-tensor-all-season-ultralight-insulated-sleeping-pad
sleeping,Air Pump,Alpenblow,0.3,,,https://www.garagegrowngear.com/products/alpenblow-micro-inflator-by-alpenglow-gear
clothing,Pants,Fjallraven Vidda Pro Lite,16,yes,,https://www.fjallraven.com/us/en-us/men/trousers/trekking-trousers/vidda-pro-lite-trousers-m
clothing,Shoes,Topo Athletic Pursuit,22,yes,,https://www.topoathletic.com/mens-pursuit
clothing,Hat,Arc’teryx Trucker,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,sun hoody x 2,Outdoor Research Echo,9,yes,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Pullover,Farpointe Yakona Cruiser,4.02,yes,,https://www.farpointeog.com/stock/p/yakona-hoodie-available-314
clothing,Underwear x 2,Unbound Merino Wool Boxer Brief,5.72,yes,,https://unboundmerino.com/products/black-boxer-brief
clothing,Socks x 2,Darn Tough Quarter,3.8,yes,,https://www.amazon.com/dp/B074ZGXRYL
clothing,down jacket,Mountain Hardwear,7.97,,,https://www.amazon.com/gp/product/B07W5XC3DD
clothing,Rain Jacket,Enlightened Equipment Visp,5.22,,,https://enlightenedequipment.com/visp-rain-jacket
kitchen,pot,TOAKS titanium 650ml,2.8,,,https://www.garagegrowngear.com/products/titanium-650ml-pot-by-toaks
kitchen,stove,BRS 3000T,0.9,,,https://www.garagegrowngear.com/products/brs-3000-t-stove-by-brs-outdoor?_pos=1&_sid=693b477d2&_ss=r
kitchen,utensil,TOAKS titanium long,0.53,,,https://www.garagegrowngear.com/products/titanium-long-handle-spoon-by-toaks
kitchen,odor barrier,NyloPro Odor Proof Bag,0.63,,,https://zpacks.com/products/nylopro-odor-barrier-bags
kitchen,fuel,MSR IsoPro 4oz,7.4,,yes,https://www.rei.com/product/849634/msr-isopro-fuel-canister-39-oz-110g
kitchen,food bag,Adotec Ultralight Food Locker 14L,6.75,,,https://adotecgear.com/product/ultralight-food-locker-grizzly-bear/
water,water Filter,Platypus Quickdraw,2.4,,,https://www.rei.com/product/188475
water,water pouch,Platypus 1L,1.4,,,https://www.rei.com/product/188475
water,Water Bottles,CNOC ThruBottle x 2,6.36,,,https://minimalgear.com/products/cnocoutdoors-thrubottle
hygiene,Toothpaste tablets,,0.53,,yes,https://www.garagegrowngear.com/products/tooth-tabs-by-unpaste
hygiene,Toothbrush,Foldable,0.74,,,https://www.target.com/p/foldable-travel-toothbrush-up-38-up-8482/-/A-89947685
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Toilet paper,,1.69,,yes,
hygiene,Toilet bag,,0.44,,,
hygiene,Body Wipes,,2,,yes,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-20ct/-/A-15045578
hygiene,Hair Ties,,0.32,,,
hygiene,Chapstick,SPF 15,0.32,,yes,
hygiene,trowel,BoglerCo Ultralight,0.48,,,https://www.garagegrowngear.com/products/ultralight-trowel-by-boglerco
aid kit,Med + Repair Kit,,1.73,,,
electronics,Watch,Apple Ultra 3,2.25,yes,,
electronics,Phone,iPhone 16 Pro,7.8,,,https://www.apple.com/iphone-16-pro/
electronics,headlamp,Nitecore NU25 UL,1.59,,,https://www.nitecorestore.com/NITECORE-NU25-UL-Headlamp-p/fl-nite-nu25-400ul-bk.htm
miscellaneous,Trekking Pole,Durston Gear Iceline,4.7,,,https://durstongear.com/products/iceline-trekking-poles
miscellaneous,Bug Wipes,Picaridin insect repellent,1.13,,,https://www.amazon.com/dp/B001ARBSTO
miscellaneous,Earplugs,Loop Quiet 2,0.5,,,https://www.amazon.com/dp/B0D3V61JC8
