category,type,name,weight,worn,consumable,link
pack,pack,Osprey Kestrel 38,65.12,yes,,https://www.rei.com/product/895643/osprey-kestrel-38-pack-2018-mens
sleeping,pillow,S2S Aero Pillow,2.1,,,https://www.amazon.com/dp/B003Z218V0
sleeping,liner,Sea-to-Summit Sleeping Bag Liner,12.8,,,https://seatosummit.com/products/adaptor-coolmax-liner-insect-shield
sleeping,sleeping bag,REI Co-op Magma 15,15.9,,,https://www.rei.com/product/148248/rei-co-op-magma-15-sleeping-bag-mens
clothing,shoes,X Ultra 3 Low GTX Hiking Shoes,26.8,yes,,https://www.rei.com/product/122169/salomon-x-ultra-3-low-gtx-hiking-shoes-mens
clothing,underwear,Smartwool boxer briefs,3.25,yes,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,socks,Wrightsock Double-Layer Sock,2.5,yes,,https://www.rei.com/product/105720/wrightsock-escape-crew-socks
clothing,sunglasses,Aviator Sunglasses,0.78,yes,,
clothing,hat,Tilley Wanderer Hat,5.4,yes,,https://www.rei.com/product/121041/tilley-wanderer-hat
clothing,shirt,Smartwool Long sleeve shirt,6.46,yes,,https://www.rei.com/product/112042/smartwool-merino-150-pattern-crew-base-layer-long-sleeve-top-mens
clothing,pants,Prana Brion Pants,10.7,yes,,https://www.rei.com/product/146748/prana-brion-pants-mens
clothing,rain coat,Patagonia 3L Rain Jacket,14.1,,,
clothing,shirt,Smartwool Long sleeve shirt,6.46,,,https://www.rei.com/product/112042/smartwool-merino-150-pattern-crew-base-layer-long-sleeve-top-mens
clothing,shirt,Smartwool Long sleeve shirt,6.46,,,https://www.rei.com/product/112042/smartwool-merino-150-pattern-crew-base-layer-long-sleeve-top-mens
clothing,underwear,Smartwool boxer briefs,3.25,,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,underwear,Smartwool boxer briefs,3.25,,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,socks,Wrightsock Double-Layer Sock,2.5,,,https://www.rei.com/product/105720/wrightsock-escape-crew-socks
clothing,socks,Wrightsock Double-Layer Sock,2.5,,,https://www.amazon.com/Wrightsock-Unisex-Escape-Black-Camino/dp/B01IVU06GI
clothing,sandals,Coleman Velcro Sandals,14.5,,,
clothing,sandals,Shower Flip Flops,5.2,,,https://www.amazon.com/gp/product/B0CT68MQ56
clothing,gloves,All Weather Gloves,5,,,https://www.rei.com/product/836503/seirus-soundtouch-hyperlite-all-weather-gloves-mens
clothing,pants,Vuori Ponto Pants,8,,,https://www.rei.com/product/112280/vuori-ponto-performance-pants-mens
