category,type,name,weight,worn,consumable,link
pack,Pack,Durston Gear Kakwa 55,29.8,,,https://durstongear.com/products/kakwa-55?variant=46299854143779
pack,Pack Liner,Nylofume Liner,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
shelter,Tent,NEMO Dragonfly 2P,46,,,https://www.rei.com/product/215776/nemo-dragonfly-osmo-2p-tent
shelter,Stakes,10 x MSR Groundhog Minis,3.35,,,https://www.rei.com/product/829838/msr-mini-ground-hog-stake?sku=8298380001&store=123&CAWELAID=120217890000832191&CAGPSPN=pla&CAAGID=109561660743&CATCI=pla-412382133064&cm_mmc=PLA_Google%7C21700000001700551_8298380001%7C412382133064%7CNB%7C71700000074092896&gclsrc=aw.ds&gad_source=1&gbraid=0AAAAAD_DTlzegKuAdmrP9_QzvAEQ3eezs&gclid=CjwKCAjwp8--BhBREiwAj7og1xgP-A5Wuhp1gefM6K3qPto_FkYLo80ed4wpy8tiUSkVSbklCWEo7xoCclYQAvD_BwE
shelter,Stakes Cap,PVC End Cap for pushing in stakes,0.39,,,https://www.homedepot.com/p/Charlotte-Pipe-1-2-in-PVC-Schedule-40-Socket-Cap-PVC021160600HD/203811669
shelter,Wiping cloth,For wiping moisture off of tent,1.31,,,https://www.amazon.com/gp/product/B077THYP76/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
sleeping,Quilt,EE Revelation Quilt 10ºF,27,,,https://enlightenedequipment.com/revelation-stock/
sleeping,Pad,Big Agnes Rapide SL 4.2R Wide,24,,,https://www.rei.com/product/203984/big-agnes-rapide-sl-insulated-sleeping-pad
sleeping,Pillow,Exped Mega Pillow,6,,,https://www.rei.com/product/149971/exped-mega-pillow
clothing,Pants,Fjallraven Vidda Pro Lite,16,yes,,https://www.fjallraven.com/us/en-us/men/trousers/trekking-trousers/vidda-pro-lite-trousers-m/?v=F86891::7323451089398
clothing,Belt,Arcade Belt,4,yes,,https://www.rei.com/product/224508/arcade-belts-atlas-belt?redirect-pup=false
clothing,Boots,Topo Athletic Trailventure 2 WP,25,yes,,https://www.topoathletic.com/M-Trailventure-2-WP?quantity=1&color=160&size=13
clothing,Hat,Arc’teryx Trucker Hat,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat?cmpid=pm%7Cmult%7Cperf%7Cgoogle%7CArc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN%7CAll_Products%7C%7C%7Bad_id%7D&utm_source=google&utm_medium=pm%7Cmult%7Cperf&utm_campaign=Arc%27teryx_Google-PMAX_S22_Performance_BOF_R:NAM_C:USA_L:EN&gclid=Cj0KCQjw7PCjBhDwARIsANo7CgnhDYiNmtssmVUGEq3x-zsezEib9-Ed3FMJOWTaoeZ2VV2wCyrO_q4aAjoPEALw_wcB&gclsrc=aw.ds
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,Shirt,Outdoor Research Echo Hoody,4.5,yes,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
