category,type,name,weight,worn,consumable,link
pack,Pack,ESC Ranger,19.25,,,https://evolvedsupplyco.com/supplies/p/the-ranger
pack,Pack Liner,Nylofume Liner,1.02,,,https://evolvedsupplyco.com/supplies/p/nylofume-pack-liner
pack,Drawstring Bag,For valuables and walking around,3,,,
sleeping,Liner,Sea-to-Summit Sleeping Bag Liner (with case),12.8,,,https://seatosummit.com/products/adaptor-coolmax-liner-insect-shield?variant=42126725284013
sleeping,Pillow,Exped Mega Pillow (no case),6,,,https://www.rei.com/product/149971/exped-mega-pillow
clothing,Shorts,Vuori Kore 7.5” inseam w/o liner (medium),5.33,yes,,https://vuoriclothing.com/products/kore-short-charcoal
clothing,Underwear,Smartwool boxer briefs,3.25,yes,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Socks,Darn Tough Ankle Socks,1.55,yes,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Sunglasses,Goodr,0.78,yes,,https://goodr.com/collections/the-ogs/products/a-gingers-soul
clothing,Hat,Arc’teryx Trucker Hat,2.15,yes,,https://arcteryx.com/us/en/shop/bird-curved-brim-trucker-hat
clothing,Shoes,Topo Athletic Pursuit (mens 11),22,yes,,https://www.topoathletic.com/mens-pursuit?quantity=1&color=179&size=14
clothing,Knee Brace,Mueller Knee Stabilizer x 2 (bad knees),3,yes,,https://www.amazon.com/gp/product/B00267SFL6
clothing,Puffy,Mountain Hardwear down Jacket,7.97,,,https://www.amazon.com/gp/product/B07W5XC3DD
clothing,Underwear,Smartwool boxer briefs,3.25,,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Shorts,Vuori Kore 7.5” inseam w/o liner (medium),5.33,,,https://vuoriclothing.com/products/elevate-kore-short-black
clothing,Socks,Darn Tough Ankle Socks,1.55,,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Pullover,Senchi Designs Wren Alpha Hoodie (large),4.02,,,https://senchidesigns.com/collections/shop/products/wren-hoodie?variant=40663500488756
clothing,Rain Jacket,Enlightened Equipment Visp (medium),5.22,,,https://enlightenedequipment.com/visp-rain-jacket/
clothing,Shirt,Outdoor Research Echo Hoody,4.5,,,https://www.outdoorresearch.com/collections/sun-protection/products/mens-echo-hoodie-287625
clothing,Underwear,Smartwool boxer briefs,3.25,,,https://www.rei.com/product/113056/smartwool-merino-150-pattern-boxer-briefs-mens
clothing,Socks,Darn Tough Ankle Socks,1.55,,,https://www.amazon.com/gp/product/B07BHX9PN8
clothing,Shirt,"Smartwool Long sleeve shirt (large, grey)",6.53,,,https://www.smartwool.com/shop/mens-classic-all-season-merino-base-layer-long-sleeve-sw016952?variationId=D36
clothing,Pants,Vuori Kore Joggers (large),8.29,,,https://www.patagonia.com/product/mens-terrebonne-joggers/194187855635.html
clothing,Sandals,Crocs Classic Clogs (mens 10),13.12,,,https://www.amazon.com/Crocs-Unisex-Classic-Clogs-Latte/dp/B0014C5S7S
water,Water Bottle,Nalgene 32oz narrow mouth water bottle x 2,11.7,,,
water,Filter,Katadyn BeFree 1L filter w/ pouch,2.29,,,https://www.rei.com/product/116364/katadyn-befree-collapsible-water-filter-bottle-338-fl-oz
hygiene,Toothpaste,Tablets x 4 (with container),0.53,,yes,https://www.garagegrowngear.com/products/tooth-tabs-by-unpaste
hygiene,Toothbrush,Foldable travel toothbrush,0.74,,,https://www.target.com/p/foldable-travel-toothbrush-up-38-up-8482/-/A-89947685
hygiene,Hand Sanitizer,,1.62,,yes,
hygiene,Body/Hair Wash,Dr. Bronners Soap,2.89,,yes,https://www.amazon.com/dp/B000HJXQ9G
hygiene,Face Lotion,Sensitive skin (incl. container and plastic bag),1.38,,yes,https://www.target.com/p/vanicream-daily-facial-moisturizer-for-sensitive-skin-3-fl-oz/-/A-80038093
hygiene,Towel,PackTowl,6.31,,,https://www.amazon.com/gp/product/B01N2HMAV1
hygiene,Deodorant,Travel-sized,0.95,,yes,https://www.amazon.com/dp/B00E3B47ZQ
hygiene,Toilet paper,,1.69,,yes,
hygiene,Body Wipes,Wet Ones wipes for one night,2,,yes,https://www.target.com/p/wet-ones-antibacterial-hand-wipes-travel-pack-fresh-20ct/-/A-15045578
hygiene,Q-tips,,0.21,,yes,
aid kit,Med + Repair Kit,Including ibuprofen + allergy medicine + repair tape,3.35,,,https://www.rei.com/product/800721/adventure-medical-kits-ultralightwatertight-3-medical-kit
electronics,Headphones,Apple Headphones (wired),0.46,,,
electronics,Powerbank,Nitecore NB10000,5.36,,,https://www.nitecorestore.com/Nitecore-NB10000-Gen-2-Power-Bank-p/bat-nite-nb10000.htm
electronics,GPS Smartwatch,Garmin Enduro 2,1.8,yes,,https://www.garmin.com/en-US/p/854515
electronics,Phone,iPhone 16 Pro + case,7.8,,,https://www.apple.com/iphone-16-pro/
electronics,Cables,Two cable w/ adapters for all,1.9,,,
electronics,Outlet Adapter (Europe),Type CEF,1.16,,,https://www.amazon.com/gp/product/B071GC3G9G
electronics,Wall Charger,Anker USB-A/USB-C 30W charger dual port,2.19,,,
electronics,SOS,Garmin inReach Messenger (with carabiner),4.2,,,https://www.garmin.com/en-US/p/793265
packed food + water,Water,2 liters of water,74.4,,yes,
packed food + water,Packed Lunch,Rough estimate,4,,yes,
miscellaneous,Playing cards,,3.28,,,
miscellaneous,Trekking Pole,CNOC Cork Trekking Pole,9.66,yes,,https://cnocoutdoors.com/collections/trekking-poles/products/cnoc-telescopic-trekking-poles-cork-grip-single-pole?variant=31473597087833
miscellaneous,Hair Ties,,0.32,,,
miscellaneous,Clothing wire and pins,For hanging laundry/clothing,2.82,,,
miscellaneous,Comb,,0.53,,,
miscellaneous,Bug Wipes,Picaridin insect repellent wipes,1.13,,,https://www.amazon.com/dp/B001ARBSTO
miscellaneous,Chapstick,SPF 15,0.32,,yes,
miscellaneous,Sunblock,33 SPF Joshua Tree sun stick,0.95,,yes,https://www.amazon.com/gp/product/B004Y6K8XA
miscellaneous,Earplugs,Handful of earplugs (and ziplock bag),0.14,,,
miscellaneous,Glasses,Reading glasses + case + cleaning cloth,2.47,,,
miscellaneous,Wallet,Cards + Cash,2,,,
miscellaneous,House Keys,Building key + unit key + fob,1.2,,,
miscellaneous,Nail clippers,,0.46,,,
miscellaneous,Passport,Passport + vaccine card + covid card (plus bag),2.57,,,
miscellaneous,Carabiners,One large one small,0.81,,,
miscellaneous,Tums,,1.21,,yes,
miscellaneous,Nuun,,2.29,,yes,
miscellaneous,Small dyneema bag,,0.49,,,
miscellaneous,Small ziplock bag,,0.18,,,
